run	metric	num_points	final_step	final_value	best_step	best_value	worst_step	worst_value
baseline	performance/generation_tokens_per_sec	8	8	6467.1630859375	7	7363.22998046875	1	1884.68896484375
baseline	performance/generation_tokens_per_sec_per_gpu	8	8	6467.1630859375	7	7363.22998046875	1	1884.68896484375
baseline	performance/policy_and_reference_logprobs_tokens_per_sec_per_gpu	8	8	2210.328369140625	4	2721.484375	1	899.8457641601562
baseline	performance/policy_training_tokens_per_sec_per_gpu	8	8	1599.9039306640625	7	2062.489990234375	1	1236.1748046875
baseline	performance/samples_per_sec	8	8	0.5873401165008545	5	1.3006304502487183	8	0.5873401165008545
baseline	performance/samples_per_sec_per_gpu	8	8	0.5873401165008545	5	1.3006304502487183	8	0.5873401165008545
baseline	performance/tokens_per_sec	8	8	209.77220153808594	5	471.6817626953125	8	209.77220153808594
baseline	performance/tokens_per_sec_per_gpu	8	8	209.77220153808594	5	471.6817626953125	8	209.77220153808594
baseline	performance/train_flops_per_gpu	8	8	16.023195266723633	7	20.660696029663086	1	12.384331703186035
baseline	performance/train_fp_utilization	8	8	0.051356397569179535	7	0.06622017920017242	1	0.03969337046146393
baseline	performance/training_worker_group_tokens_per_sec	8	8	928.1095581054688	7	1142.4814453125	1	520.7659301757812
baseline	performance/training_worker_group_tokens_per_sec_per_gpu	8	8	928.1095581054688	7	1142.4814453125	1	520.7659301757812
baseline	ray/node.0.gpu.0.mem_gb	94	940	20.6328125	798	49.99609375	0	0.8642578125
baseline	ray/node.0.gpu.0.util	94	940	29.0	808	100.0	0	0.0
baseline	ray/node.0.mem_gb	94	940	42.41203689575195	879	50.92672348022461	0	3.6093711853027344
baseline	ray/node.0.mem_total_gb	94	940	116.41532135009766	0	116.41532135009766	0	116.41532135009766
baseline	ray/ray/ray_step	94	940	940.0	940	940.0	0	0.0
baseline	timing/setup/other_setup_time_s	1	0	189.83819580078125	0	189.83819580078125	0	189.83819580078125
baseline	timing/setup/parallel_init_enabled	1	0	0.0	0	0.0	0	0.0
baseline	timing/setup/policy_init_time_s	1	0	168.9828338623047	0	168.9828338623047	0	168.9828338623047
baseline	timing/setup/total_setup_time_s	1	0	622.2102661132812	0	622.2102661132812	0	622.2102661132812
baseline	timing/setup/vllm_init_time_s	1	0	263.1407470703125	0	263.1407470703125	0	263.1407470703125
baseline	timing/train/advantage_calculation	8	8	0.0014447197318077087	7	0.0032261162996292114	6	0.0013031736016273499
baseline	timing/train/data_processing	8	8	0.005948051810264587	1	0.019608326256275177	3	0.0038911178708076477
baseline	timing/train/generation	8	8	1.767235517501831	1	6.291754245758057	2	1.59638512134552
baseline	timing/train/get_logprobs/shard_data	8	8	0.002315737307071686	2	0.006055787205696106	8	0.002315737307071686
baseline	timing/train/get_logprobs/submit_logprob_futures	8	8	0.001953311264514923	7	0.002699345350265503	4	0.0012935474514961243
baseline	timing/train/get_reference_policy_logprobs/shard_data	8	8	0.0025806203484535217	2	0.0041736215353012085	3	0.001918107271194458
baseline	timing/train/get_reference_policy_logprobs/submit_reference_policy_logprob_futures	8	8	0.0016402676701545715	1	0.0031928345561027527	3	0.001423068344593048
baseline	timing/train/logprob_inference_prep	8	8	2.9092791080474854	2	3.278949499130249	7	2.5297861099243164
baseline	timing/train/policy_and_reference_logprobs	8	8	5.170724868774414	1	13.177813529968262	4	4.2903056144714355
baseline	timing/train/policy_training	8	8	7.143553733825684	1	9.59249496459961	7	5.707179069519043
baseline	timing/train/policy_training/sharding_data	8	8	0.0051348209381103516	1	0.010267913341522217	4	0.004458367824554443
baseline	timing/train/policy_training/submit_training_futures	8	8	0.0026771947741508484	1	0.00794372707605362	2	0.001955471932888031
baseline	timing/train/prepare_for_generation/total	8	8	14.171525955200195	3	15.940866470336914	5	1.28066086769104
baseline	timing/train/prepare_for_generation/transfer_and_update_weights	7	8	0.3705868422985077	2	0.5731315016746521	3	0.3493870794773102
baseline	timing/train/reward_calculation	8	8	0.005175448954105377	1	0.08952099829912186	4	0.00454305112361908
baseline	timing/train/total_step_time	8	8	54.48291015625	8	54.48291015625	5	24.603452682495117
baseline	timing/train/training_prep	8	8	4.788262367248535	3	6.084617614746094	1	0.4212213158607483
baseline	timing/train/valid_tokens_per_sec_per_gpu	8	8	141.78758239746094	5	310.728759765625	8	141.78758239746094
baseline	timing/validation/total_validation_time	2	8	1.948360800743103	4	2.1522905826568604	8	1.948360800743103
baseline	train/advantages/max	8	8	2.2677807807922363	3	2.2677807807922363	2	0.0
baseline	train/advantages/mean	8	8	-0.00629122881218791	4	0.10378216207027435	7	-0.039038293063640594
baseline	train/advantages/min	8	8	-2.2677807807922363	2	0.0	7	-2.2677807807922363
baseline	train/advantages/sum	8	8	6.103515625e-05	4	1488.0169677734375	7	-416.0875549316406
baseline	train/approx_entropy	8	8	0.3660506308078766	8	0.3660506308078766	6	0.10839483886957169
baseline	train/avg_turns_per_sample	8	8	1.0	1	1.0	1	1.0
baseline	train/baseline_reward/pct_0	8	8	25.0	7	75.0	4	0.0
baseline	train/baseline_reward/pct_1	8	8	25.0	2	50.0	3	0.0
baseline	train/baseline_reward/pct_mixed	8	8	50.0	3	75.0	2	0.0
baseline	train/dg_enabled	8	8	0.0	1	0.0	1	0.0
baseline	train/dg_eta	8	8	1.0	1	1.0	1	1.0
baseline	train/dg_gate_mean	8	8	1.0	1	1.0	1	1.0
baseline	train/dg_gate_negative_mean	8	8	1.0	1	1.0	1	1.0
baseline	train/dg_gate_positive_mean	8	8	1.0	1	1.0	1	1.0
baseline	train/dg_gate_spread	8	8	0.0	1	0.0	1	0.0
baseline	train/dg_gate_std	8	8	0.0	1	0.0	1	0.0
baseline	train/dg_surprisal_max	8	8	16.77435302734375	5	17.763813018798828	2	15.269294738769531
baseline	train/dg_surprisal_mean	8	8	0.3501189649105072	8	0.3501189649105072	6	0.11000490933656693
baseline	train/gen_kl_error	8	8	0.00019175004854332656	8	0.00019175004854332656	5	0.00011156678374391049
baseline	train/global_valid_seqs	8	8	32.0	1	32.0	1	32.0
baseline	train/global_valid_toks	8	8	7725.0	7	8099.0	2	7130.0
baseline	train/grad_norm	8	8	0.7303570508956909	7	0.9268650412559509	2	0.00048263370990753174
baseline	train/js_divergence_error	8	8	4.815511420019902e-05	8	4.815511420019902e-05	5	2.839018816302996e-05
baseline	train/kl_penalty	8	8	0.0001914983004098758	8	0.0001914983004098758	5	8.381388033740222e-05
baseline	train/loss	8	8	0.0063935015350580215	7	0.039194416254758835	4	-0.10383187234401703
baseline	train/lr	8	8	1.1299999869152089e-06	8	1.1299999869152089e-06	1	4.999999987376214e-07
baseline	train/masked_correct_pct	8	8	0.0	1	0.0	1	0.0
baseline	train/max_gen_tokens_per_sample	8	8	256.0	1	256.0	1	256.0
baseline	train/max_seq_mult_prob_error	8	8	1.017968773841858	8	1.017968773841858	5	1.005495548248291
baseline	train/max_turns_per_sample	8	8	1.0	1	1.0	1	1.0
baseline	train/max_turns_reached_rate	8	8	0.0	1	0.0	1	0.0
baseline	train/mean_env_tokens_per_sample	8	8	3.0	1	3.0	1	3.0
baseline	train/mean_gen_tokens_per_sample	8	8	241.40625	7	253.09375	2	222.8125
baseline	train/mean_prompt_length	8	8	112.75	3	125.25	6	102.0
